adult n S2, W2
quiet adj S2, W2
promise v S2, W2
requirement n S2, W2
race n S2, W2
proportion n S2, W2
propose v S2, W2
rail n S2, W2
railway n S2, W2
rain n S2, W2
protect v S2, W2
protection n S2, W2
regular adj S2, W2
regulation n S2, W2
respond v S2, W2
responsible adj S2, W2
restaurant n S2, W2
public n S2, W2
relatively adv S2, W2
reaction n S2, W2
release v S2, W2
relevant adj S2, W2
relief n S2, W2
religion n S2, W2
religious adj S2, W2
return n S2, W2
reality n S2, W2
review n S2, W2
purpose n S2, W2
rich adj S2, W2
ride v S2, W2
repeat v S2, W2
queen n S2, W2
recommend v S2, W2
settle v S2, W2
scene n S2, W2
river n S2, W2
rock n S2, W2
score n S2, W2
shape n S2, W2
roof n S2, W2
screen n S2, W2
root n S2, W2
skin n S2, W2
sky n S2, W2
row n S2, W2
ship n S2, W2
shock n S2, W2
slow adj S2, W2
shoot v S2, W2
smart adj S2, W2
shot n S2, W2
safe adj S2, W2
smile n S2, W2
safety n S2, W2
select v S2, W2
shoulder n S2, W2
shout v S2, W2
smoke v S2, W2
separate adj S2, W2
sight n S2, W2
separate v S2, W2
sign v S2, W2
signal n S2, W2
soft adj S2, W2
seriously adv S2, W2
session n S2, W2
scale n S2, W2
survey n S2, W2
survive v S2, W2
somehow adv S2, W2
standard adj S2, W2
standard n S2, W2
star n S2, W2
study v S2, W2
southern adj S2, W2
speaker n S2, W2
tall adj S2, W2
tank n S2, W2
sufficient adj S2, W2
target n S2, W2
stock n S2, W2
speech n S2, W2
taste n S2, W2
sum n S2, W2
spirit n S2, W2
teaching n S2, W2
supply n S2, W2
technical adj S2, W2
strange adj S2, W2
sport n S2, W2
stranger n S2, W2
spot n S2, W2
spread v S2, W2
temperature n S2, W2
spring n S2, W2
strength n S2, W2
surgery n S2, W2
surprised adj S2, W2
staff n S2, W2
trip n S2, W2
usual adj S2, W2
tool n S2, W2
tooth n S2, W2
theatre n S2, W2
TV n S2, W2
total n S2, W2
theme n S2, W2
touch n S2, W2
touch v S2, W2
tough adj S2, W2
typical adj S2, W2
vehicle n S2, W2
version n S2, W2
thick adj S2, W2
thin adj S2, W2
track n S2, W2
tradition n S2, W2
violence n S2, W2
unemployment n S2, W2
virtually adv S2, W2
unit n S2, W2
transport n S2, W2
travel n S2, W2
travel v S2, W2
vote n S2, W2
vote v S2, W2
wage n S2, W2
tiny adj S2, W2
walk n S2, W2
warm adj S2, W2
whole n S2, W2
yard n S2, W2
wild adj S2, W2
will n S2, W2
wind n S2, W2
youth n S2, W2
web n S2, W2
website n S2, W2
wine n S2, W2
wing n S2, W2
winter n S2, W2
welcome v S2, W2
western adj S2, W2
wood n S2, W2
working adj S2, W2
whereas conj S2, W2
worse adj S2, W2
