alter v S3, W3
lake n S3, W3
loud adj S2, W3
lie v S3, W3
land v S2, W3
lovely adj S1, W3
matter v S1, W3
lift n S3, W3
maximum adj S3, W3
lane n S3, W3
lower v S3, W3
light v S2, W3
luck n S2, W3
lucky adj S2, W3
late adv S2, W3
meat n S2, W3
mad adj S2, W3
mechanism n S3, W3
medicine n S2, W3
mail n S3, W3
layer n S3, W3
list v S2, W3
mall n S3, W3
live adj S3, W3
load n S1, W3
lecture n S2, W3
metre n S2, W3
left adv S3, W3
left n S3, W3
lock v S2, W3
milk n S2, W3
lend v S3, W3
mine n S2, W3
musical adj S3, W3
minimum adj S2, W3
another pron S3, W3
mirror n S3, W3
mix v S2, W3
native adj S3, W3
mixture n S3, W3
naturally adv S3, W3
phone n S2, W3
now conj S1, W3
near adj S2, W3
oppose v S3, W3
nurse n S2, W3
monitor v S3, W3
mood n S3, W3
negotiate v S3, W3
objective n S3, W3
neighbourhood n S3, W3
neither adv S2, W3
nerve n S3, W3
nervous adj S3, W3
occasional adj S3, W3
mostly adv S2, W3
occasionally adv S2, W3
occupation n S3, W3
motor n S3, W3
mountain n S3, W3
clock adv S1, W3
ourselves pron S1, W3
mouse n S2, W3
odd adj S1, W3
muscle n S2, W3
practise v S3, W3
owe v S2, W3
platform n S3, W3
pray v S3, W3
prayer n S3, W3
precisely adv S2, W3
pleasant adj S3, W3
pack n S2, W3
pack v S2, W3
pleased adj S2, W3
perfectly adv S2, W3
preparation n S3, W3
paint v S2, W3
poem n S3, W3
present n S2, W3
permission n S2, W3
presentation n S2, W3
pan n S3, W3
personality n S3, W3
policeman n S2, W3
presumably adv S1, W3
pretend v S2, W3
pretty adj S2, W3
pretty adv S1, W3
photo n S3, W3
photocopy n S3, W3
photocopy v S3, W3
pride n S3, W3
pop n S3, W3
phrase n S3, W3
print v S2, W3
pass n S2, W3
printer n S3, W3
pink adj S2, W3
pipe n S2, W3
pot n S2, W3
pitch n S3, W3
proceed v S3, W3
pour v S2, W3
plain adj S2, W3
professor n S3, W3
question v S2, W3
quietly adv S3, W3
promotion n S3, W3
quote v S2, W3
rescue v S3, W3
proof n S3, W3
resident n S3, W3
resistance n S3, W3
register v S3, W3
proud adj S2, W3
regularly adv S3, W3
related adj S2, W3
rest v S3, W3
pub n S2, W3
relative n S3, W3
react v S3, W3
relax v S3, W3
publicity n S3, W3
retire v S2, W3
retirement n S3, W3
pure adj S3, W3
purely adv S3, W3
review v S3, W3
reasonably adv S2, W3
rent n S2, W3
rent v S2, W3
qualify v S3, W3
reckon v S1, W3
reply n S3, W3
schedule n S2, W3
severe adj S3, W3
sir n S1, W3
rope n S3, W3
rough adj S2, W3
sheep n S2, W3
shelf n S3, W3
sleep n S2, W3
shell n S3, W3
slide v S3, W3
shift v S3, W3
slight adj S2, W3
secret n S3, W3
shirt n S2, W3
secure adj S3, W3
shoe n S1, W3
rush v S2, W3
shopping n S2, W3
seed n S3, W3
shortly adv S3, W3
smell n S2, W3
sad adj S2, W3
smell v S2, W3
smoke n S3, W3
sake n S2, W3
self n S2, W3
salary n S2, W3
salt n S2, W3
snow n S2, W3
sensible adj S3, W3
sensitive adj S3, W3
sick adj S1, W3
so conj S1, W3
sand n S3, W3
saving n S3, W3
solid adj S3, W3
solve v S2, W3
stair n S2, W3
strike v S3, W3
somebody pron S1, W3
suspect v S2, W3
struggle n S3, W3
sweet adj S2, W3
study n S2, W3
stuff n S1, W3
stupid adj S1, W3
switch v S2, W3
sort v S1, W3
soul n S3, W3
statistic n S2, W3
submit v S3, W3
steal v S3, W3
tackle v S3, W3
tail n S2, W3
steel n S3, W3
step v S3, W3
stick v S1, W3
specialist n S3, W3
sudden adj S2, W3
tape n S3, W3
specifically adv S2, W3
stir v S3, W3
sugar n S2, W3
stomach n S3, W3
suit n S2, W3
stop n S2, W3
suit v S3, W3
store v S3, W3
tear n S3, W3
split v S2, W3
straight adj S2, W3
tear v S2, W3
temporary adj S3, W3
square adj S2, W3
tendency n S3, W3
square n S2, W3
tennis n S3, W3
stress n S3, W3
stress v S3, W3
surprising adj S3, W3
stretch v S3, W3
terrible adj S1, W3
truck n S2, W3
trust v S2, W3
tongue n S3, W3
tube n S3, W3
vacation n S2, W3
valley n S3, W3
van n S2, W3
vegetable n S3, W3
tower n S3, W3
uncle n S2, W3
unemployed adj S2, W3
violent adj S3, W3
unfortunately adv S1, W3
throat n S3, W3
transaction n S3, W3
united adj S2, W3
tie v S2, W3
tie n S3, W3
tight adj S2, W3
unusual adj S2, W3
tip n S2, W3
wake v S2, W3
writing n S2, W3
wash v S1, W3
waste n S2, W3
waste v S2, W3
yellow adj S2, W3
watch n S2, W3
wide adv S3, W3
wave v S3, W3
willing adj S2, W3
yours pron S1, W3
wind v S3, W3
wedding n S2, W3
weigh v S3, W3
wire n S2, W3
welcome adj S2, W3
witness n S2, W3
wet adj S2, W3
wooden adj S3, W3
wheel n S2, W3
workshop n S3, W3
worried adj S2, W3
worse adv S3, W3
