alter v S3, W3
gain v S3, W2
foreign adj S3, W1
healthy adj S3, W3
hearing n S3, W2
grateful adj S3, W3
gasoline n S3, W3
heaven n S3, W3
introduction n S3, W2
indicate v S3, W1
invest v S3, W3
indication n S3, W3
industrial adj S3, W1
inflation n S3, W2
island n S3, W2
influence n S3, W1
hers pron S3, W3
influence v S3, W2
issue v S3, W2
inform v S3, W3
item n S3, W2
ideal adj S3, W3
initial adj S3, W2
initially adv S3, W3
initiative n S3, W2
injury n S3, W2
inner adj S3, W2
ill adj S3, W2
illness n S3, W3
journey n S3, W2
imagination n S3, W3
insist v S3, W2
judge v S3, W3
hit n S3, W3
immediate adj S3, W2
inspector n S3, W3
impact n S3, W2
instance n S3, W2
implication n S3, W2
jury n S3, W3
importance n S3, W1
instruction n S3, W2
impose v S3, W2
justify v S3, W3
impress v S3, W3
keen adj S3, W3
intelligence n S3, W3
key adj S3, W2
improvement n S3, W2
intention n S3, W2
incident n S3, W2
kilometre n S3, W3
kiss v S3, W3
knife n S3, W3
household n S3, W2
marketing n S3, W3
label n S3, W3
loose adj S3, W3
lord n S3, W2
lack n S3, W2
licence n S3, W2
match v S3, W2
lake n S3, W3
lie v S3, W3
lift n S3, W3
maximum adj S3, W3
lane n S3, W3
lower v S3, W3
largely adv S3, W2
limit v S3, W2
mechanism n S3, W3
link n S3, W2
lawyer n S3, W2
link v S3, W2
mail n S3, W3
lip n S3, W2
layer n S3, W3
leadership n S3, W2
literature n S3, W2
male adj S3, W2
mall n S3, W3
merely adv S3, W2
live adj S3, W3
manner n S3, W2
leave n S3, W2
left adv S3, W3
left n S3, W3
location n S3, W2
mark n S3, W2
lend v S3, W3
museum n S3, W2
musical adj S3, W3
minority n S3, W2
another pron S3, W3
mirror n S3, W3
narrow adj S3, W2
note v S3, W1
mission n S3, W2
nation n S3, W2
native adj S3, W3
mixture n S3, W3
naturally adv S3, W3
oppose v S3, W3
opposition n S3, W2
monitor v S3, W3
mood n S3, W3
object n S3, W2
moral adj S3, W2
negotiate v S3, W3
negotiation n S3, W2
objective n S3, W3
neighbourhood n S3, W3
obtain v S3, W2
nerve n S3, W3
nervous adj S3, W3
occasional adj S3, W3
network n S3, W2
occupation n S3, W3
motor n S3, W3
nevertheless adv S3, W2
ocean n S3, W2
mountain n S3, W3
offence n S3, W2
official n S3, W1
official adj S3, W2
overall adj S3, W2
murder n S3, W2
practise v S3, W3
platform n S3, W3
pray v S3, W3
prayer n S3, W3
per prep S3, W1
pleasant adj S3, W3
percent n S3, W2
preparation n S3, W3
perform v S3, W2
presence n S3, W2
poem n S3, W3
painting n S3, W2
pan n S3, W3
personality n S3, W3
policy n S3, W1
persuade v S3, W2
photo n S3, W3
previously adv S3, W2
photocopy n S3, W3
photocopy v S3, W3
pride n S3, W3
pop n S3, W3
phrase n S3, W3
printer n S3, W3
passenger n S3, W2
prisoner n S3, W2
pitch n S3, W3
potential adj S3, W2
proceed v S3, W3
powerful adj S3, W2
practical adj S3, W2
professor n S3, W3
record v S3, W2
representation n S3, W2
representative n S3, W2
quietly adv S3, W3
promise n S3, W2
reduction n S3, W2
request n S3, W2
promote v S3, W2
promotion n S3, W3
rescue v S3, W3
proof n S3, W3
resident n S3, W3
resistance n S3, W3
register v S3, W3
regularly adv S3, W3
provided conj S3, W2
rare adj S3, W2
reject v S3, W2
provision n S3, W1
rest v S3, W3
relative n S3, W3
react v S3, W3
relax v S3, W3
publicity n S3, W3
publish v S3, W1
release n S3, W2
reader n S3, W2
retirement n S3, W3
rely v S3, W2
pure adj S3, W3
purely adv S3, W3
review v S3, W3
revolution n S3, W2
recall v S3, W2
pursue v S3, W2
qualify v S3, W3
quantity n S3, W2
recognition n S3, W2
reply n S3, W3
rise n S3, W2
severe adj S3, W3
scientific adj S3, W2
sexual adj S3, W2
scientist n S3, W2
shadow n S3, W2
shake v S3, W2
score v S3, W2
sharp adj S3, W2
rope n S3, W3
search n S3, W2
route n S3, W2
shelf n S3, W3
shell n S3, W3
slide v S3, W3
royal adj S3, W1
secondary adj S3, W2
shift v S3, W3
secret adj S3, W2
secret n S3, W3
slip v S3, W2
secure adj S3, W3
slow v S3, W2
slowly adv S3, W2
seed n S3, W3
shortly adv S3, W3
smile v S3, W1
selection n S3, W2
smoke n S3, W3
sensible adj S3, W3
sensitive adj S3, W3
sample n S3, W2
sand n S3, W3
sign n S3, W2
software n S3, W2
satisfy v S3, W2
significantly adv S3, W2
soldier n S3, W2
solicitor n S3, W2
saving n S3, W3
solid adj S3, W3
strike n S3, W2
strike v S3, W3
string n S3, W2
structure n S3, W2
somewhat adv S3, W2
struggle n S3, W3
stare v S3, W2
studio n S3, W2
state v S3, W2
soul n S3, W3
submit v S3, W3
substantial adj S3, W2
steal v S3, W3
succeed v S3, W2
tackle v S3, W3
steel n S3, W3
step v S3, W3
specialist n S3, W3
tape n S3, W3
stir v S3, W3
stomach n S3, W3
suit v S3, W3
suitable adj S3, W2
store v S3, W3
tear n S3, W3
supply v S3, W2
technique n S3, W1
supporter n S3, W2
temporary adj S3, W3
surface n S3, W1
tendency n S3, W3
surprise n S3, W2
tennis n S3, W3
stress n S3, W3
stress v S3, W3
surprising adj S3, W3
stretch v S3, W3
test v S3, W2
tone n S3, W2
tongue n S3, W3
user n S3, W1
tube n S3, W3
valley n S3, W3
topic n S3, W2
vary v S3, W2
tour n S3, W2
vast adj S3, W2
vegetable n S3, W3
tower n S3, W3
trade n S3, W1
victim n S3, W2
trade v S3, W2
traditional adj S3, W1
violent adj S3, W3
threat n S3, W2
threaten v S3, W2
throat n S3, W3
transaction n S3, W3
transfer v S3, W2
vision n S3, W2
unique adj S3, W2
visit n S3, W2
visitor n S3, W2
volume n S3, W2
tie n S3, W3
unlikely adj S3, W2
trend n S3, W2
title n S3, W1
trial n S3, W2
white n S3, W2
writer n S3, W2
warn v S3, W2
warning n S3, W2
whom pron S3, W1
wide adv S3, W3
wave n S3, W2
wave v S3, W3
weak adj S3, W2
weapon n S3, W2
wind v S3, W3
winner n S3, W2
weigh v S3, W3
welfare n S3, W2
withdraw v S3, W2
wooden adj S3, W3
workshop n S3, W3
worse adv S3, W3
